,Date,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,SP500,AMERIBOR,T10YIE,T5YIE,BAMLH0A0HYM2,BAMLH0A0HYM2EY,DGS10,DGS1,RIFSPPFAAD90NB,DCPN3M,DCPF1M,DCOILWTICO,DHHNGSP,USRECD,USRECDM,USRECDP
0,1/2/2019,0.23,0.74,1.12,-0.12,0.27,0.01,-0.244138,2510.03,2.557530864,1.7,1.49,5.35,7.89,2.66,2.6,2.69,2.57,2.39,46.31,3.25,0,0,0
1,1/3/2019,-2.45,0.48,1.19,-0.22,0.9,0.01,-0.25342,2447.89,2.563146552,1.68,1.49,5.44,7.86,2.56,2.5,2.64,2.56,2.39,46.92,2.72,0,0,0
2,1/4/2019,3.55,0.36,-0.7,-0.11,-0.59,0.01,-0.263187,2531.94,2.56170709,1.76,1.58,5.05,7.58,2.67,2.57,2.67,2.57,,47.76,2.8,0,0,0
3,1/7/2019,0.94,0.87,-0.75,-0.72,-0.45,0.01,-0.295311,2549.69,2.567482332,1.78,1.61,4.83,7.4,2.7,2.58,2.66,2.56,2.47,48.27,2.74,0,0,0
4,1/8/2019,1.01,0.44,-0.63,0.32,-0.09,0.01,-0.306825,2574.41,2.563390558,1.82,1.66,4.65,7.26,2.73,2.6,2.56,2.57,2.49,49.58,2.89,0,0,0
5,1/9/2019,0.56,0.5,0.1,0.08,-0.19,0.01,-0.318728,2584.96,2.5548,1.83,1.68,4.52,7.13,2.74,2.59,2.6,2.6,2.43,52.19,2.92,0,0,0
6,1/10/2019,0.42,0,-0.46,-0.06,-0.04,0.01,-0.331026,2596.64,2.56143,1.81,1.65,4.54,7.15,2.74,2.59,2.63,2.57,,52.42,2.95,0,0,0
7,1/11/2019,-0.01,0.2,0.22,0.23,0.25,0.01,-0.343721,2596.26,2.55789,1.83,1.66,4.55,7.13,2.71,2.58,2.67,2.57,2.47,51.44,2.95,0,0,0
8,1/14/2019,-0.6,-0.45,0.94,0.24,0,0.01,-0.384031,2582.61,2.56049,1.81,1.64,4.6,7.16,2.71,2.57,2.67,2.57,2.45,50.31,3.36,0,0,0
9,1/15/2019,1.06,-0.14,-0.88,-0.3,-0.57,0.01,-0.397952,2610.3,2.5563,1.81,1.63,4.55,7.12,2.72,2.57,2.64,2.53,,51.8,3.54,0,0,0
10,1/16/2019,0.28,0.25,0.92,-0.11,-0.23,0.01,-0.412089,2616.1,2.5623,1.82,1.64,4.44,7.03,2.73,2.57,2.52,2.55,,52.08,3.58,0,0,0
11,1/17/2019,0.75,0.09,-0.24,0.06,0,0.01,-0.426446,2635.96,2.55115,1.79,1.64,4.4,7.01,2.75,2.57,2.62,2.57,,51.83,3.58,0,0,0
12,1/18/2019,1.29,-0.29,0.12,0.2,-0.27,0.01,-0.441028,2670.71,2.55312,1.83,1.67,4.27,6.93,2.79,2.6,2.49,2.51,2.4,53.6,3.43,0,0,0
13,1/22/2019,-1.53,-0.35,0.33,0.26,0.34,0.01,-0.498205,2632.9,2.55789,1.79,1.63,4.41,7.01,2.74,2.59,2.53,2.52,2.41,52.59,3.43,0,0,0
14,1/23/2019,0.15,-0.41,-0.14,0.35,0.29,0.01,-0.51049,2638.7,2.55789,1.8,1.64,4.39,7.01,2.76,2.59,2.5,2.57,,52.44,3.13,0,0,0
15,1/24/2019,0.23,0.48,0,-0.15,-0.19,0.01,-0.521863,2642.33,2.55789,1.77,1.62,4.45,7.03,2.72,2.58,2.52,2.5,2.43,52.94,3.13,0,0,0
16,1/25/2019,0.9,0.42,-0.35,-0.35,-0.57,0.01,-0.532328,2664.76,2.55789,1.79,1.64,4.34,6.96,2.76,2.6,2.58,2.55,,53.53,3.07,0,0,0
17,1/28/2019,-0.8,-0.07,0.63,0.28,0.16,0.01,-0.55928,2643.85,2.55789,1.78,1.62,4.41,7.03,2.75,2.6,2.59,2.53,,51.79,3.05,0,0,0
18,1/29/2019,-0.19,0.03,0.17,0.04,0.46,0.01,-0.568096,2640,2.55789,1.78,1.62,4.4,6.98,2.72,2.6,2.6,2.54,2.44,53.07,2.94,0,0,0
19,1/30/2019,1.51,-0.35,-0.94,-0.24,-0.88,0.01,-0.576996,2681.05,2.55789,1.84,1.68,4.36,6.91,2.7,2.57,2.5,2.52,2.41,54.18,3,0,0,0
